|name|average_rate|nb_of_reviews|address|city|postal_code|comment_rate|last_50_better?
0|Pizza Wawa|4.5|1535|35 Rue Saint-Honoré, 75001 Paris|Paris|75001|4.58|Better
1|Pizzeria Iovine's|4.5|2591|7bis Rue du Colonel Driant, 75001 Paris|Paris|75001|4.6521739130434785|Better
2|Milo|4.6|579|44 Rue Saint-Honoré, 75001 Paris|Paris|75001|4.6|Equal
3|La Tavola Calda|4.5|513|39 Rue des Bourdonnais, 75001 Paris|Paris|75001|4.44|Worse
4|Liberto|4.7|1697|23 Rue Berger, 75001 Paris|Paris|75001|4.358974358974359|Worse
5|PIZZA e MOZZA|4.3|1048|1 Rue des Innocents, 75001 Paris|Paris|75001|3.64|Worse
6|COME PRIMA by OSKIAN|4.3|720|139 Rue Saint-Honoré, 75001 Paris|Paris|75001|4.395833333333333|Better
7|Rarita Paris|4.6|405|100 Rue Saint-Honoré, 75001 Paris|Paris|75001|4.395833333333333|Worse
8|Pizza Nelly.|4.1|241|19 Rue Duphot, 75001 Paris|Paris|75001|4.22|Better
9|Gambino|4.3|1142|6 Rue Gomboust, 75001 Paris|Paris|75001|4.130434782608695|Worse
10|Domenico|4.3|364|3 Rue des Pyramides 1er, 75001 Paris|Paris|75001|4.28|Worse
11|Uno|4.4|816|37 Rue Berger, 75001 Paris|Paris|75001|4.12|Worse
12|Valentino|4.5|295|26 Rue du Bouloi, 75001 Paris|Paris|75001|4.869565217391305|Better
13|Bella Piazza|4.5|573|8 Rue de la Petite Truanderie, 75001 Paris|Paris|75001|4.142857142857143|Worse
14|Pizza Mimmo|4.2|449|14 Rue Saint-Denis, 75001 Paris|Paris|75001|4.02|Worse
15|Gemini Halles|4.1|616|16 Rue des Halles, 75001 Paris|Paris|75001|4.12|Better
16|Magagna Pizza Corsica|4.9|47|30 Rue Coquillière, 75001 Paris|Paris|75001|4.8936170212765955|Worse
17|Restaurant La Fontaine d'Italie|4.3|348|23 Rue Molière, 75001 Paris|Paris|75001|4.76|Better
18|Casa Festa|4.5|1120|16 Rue Jean-Jacques Rousseau, 75001 Paris|Paris|75001|4.34|Worse
19|Enza & Famiglia pizzeria|4.4|351|19 Rue du Roule, 75001 Paris|Paris|75001|4.8|Better
20|Pendino|4.3|659|6 Rue de l'Échelle, 75001 Paris|Paris|75001|4.26|Worse
21|Cinquecento|3.9|1433|38 Rue Saint-Denis, 75001 Paris|Paris|75001|3.94|Better
22|Caffe dei Fratelli|4.2|656|10 Rue des Pyramides, 75001 Paris|Paris|75001|4.275|Better
23|Pizza Time® Châtelet|3.9|66|33 Rue Saint-Denis, 75001 Paris|Paris|75001|3.6|Worse
24|Liberta|4.4|1042|32 Rue du Pont Neuf, 75001 Paris|Paris|75001|4.35|Worse
25|La Perla|4.3|3759|5 Rue Montorgueil, 75001 Paris|Paris|75001|4.2|Worse
26|Ristorante Fellini|4.3|150|47 Rue de l'Arbre Sec, 75001 Paris|Paris|75001|4.44|Better
27|Tutti Amici|4.4|210|47 Rue Saint-Honoré, 75001 Paris|Paris|75001|4.714285714285714|Better
