|name|average_rate|nb_of_reviews|address|city|postal_code|comment_rate|last_50_better?
0|Pizza Wawa|4.5|1535|35 Rue Saint-Honoré, 75001 Paris|Paris|75001|4.58|Better
1|Milo|4.6|579|44 Rue Saint-Honoré, 75001 Paris|Paris|75001|4.6|Equal
2|La Tavola Calda|4.5|513|39 Rue des Bourdonnais, 75001 Paris|Paris|75001|4.44|Worse
3|Liberto|4.7|1697|23 Rue Berger, 75001 Paris|Paris|75001|4.358974358974359|Worse
4|PIZZA e MOZZA|4.3|1048|1 Rue des Innocents, 75001 Paris|Paris|75001|3.64|Worse
5|COME PRIMA by OSKIAN|4.3|720|139 Rue Saint-Honoré, 75001 Paris|Paris|75001|4.395833333333333|Better
6|Rarita Paris|4.6|405|100 Rue Saint-Honoré, 75001 Paris|Paris|75001|4.395833333333333|Worse
7|Pizza Nelly.|4.1|241|19 Rue Duphot, 75001 Paris|Paris|75001|4.22|Better
8|Gambino|4.3|1142|6 Rue Gomboust, 75001 Paris|Paris|75001|4.130434782608695|Worse
9|Domenico|4.3|364|3 Rue des Pyramides 1er, 75001 Paris|Paris|75001|4.28|Worse
10|Uno|4.4|816|37 Rue Berger, 75001 Paris|Paris|75001|4.12|Worse
11|Valentino|4.5|295|26 Rue du Bouloi, 75001 Paris|Paris|75001|4.869565217391305|Better
12|Bella Piazza|4.5|573|8 Rue de la Petite Truanderie, 75001 Paris|Paris|75001|4.142857142857143|Worse
13|Pizza Mimmo|4.2|449|14 Rue Saint-Denis, 75001 Paris|Paris|75001|4.02|Worse
14|Gemini Halles|4.1|616|16 Rue des Halles, 75001 Paris|Paris|75001|4.12|Better
15|Magagna Pizza Corsica|4.9|47|30 Rue Coquillière, 75001 Paris|Paris|75001|4.8936170212765955|Worse
16|Restaurant La Fontaine d'Italie|4.3|348|23 Rue Molière, 75001 Paris|Paris|75001|4.76|Better
17|Casa Festa|4.5|1120|16 Rue Jean-Jacques Rousseau, 75001 Paris|Paris|75001|4.34|Worse
18|Enza & Famiglia pizzeria|4.4|351|19 Rue du Roule, 75001 Paris|Paris|75001|4.8|Better
19|Pendino|4.3|659|6 Rue de l'Échelle, 75001 Paris|Paris|75001|4.26|Worse
20|Cinquecento|3.9|1433|38 Rue Saint-Denis, 75001 Paris|Paris|75001|3.94|Better
21|Caffe dei Fratelli|4.2|656|10 Rue des Pyramides, 75001 Paris|Paris|75001|4.275|Better
22|Liberta|4.4|1042|32 Rue du Pont Neuf, 75001 Paris|Paris|75001|4.35|Worse
23|La Perla|4.3|3759|5 Rue Montorgueil, 75001 Paris|Paris|75001|4.2|Worse
24|Ristorante Fellini|4.3|150|47 Rue de l'Arbre Sec, 75001 Paris|Paris|75001|4.44|Better
25|Tutti Amici|4.4|210|47 Rue Saint-Honoré, 75001 Paris|Paris|75001|4.714285714285714|Better
26|Pizza chez Gino|4.0|133|22 Rue des Bourdonnais, 75001 Paris|Paris|75001|4.122448979591836|Better
27|Presto Fresco|4.4|5016|14 Rue Montmartre, 75001 Paris|Paris|75001|4.3|Worse
28|Chez Alexandre|4.1|417|16 Rue du Louvre, 75001 Paris|Paris|75001|4.42|Better
29|Il Fico|4.5|226|31 Rue Coquillière, 75001 Paris|Paris|75001|4.46|Worse
30|Restaurant Casanova - Cucina Italiana|4.1|158|6 Rue des Lavandières Sainte-Opportune, 75001 Paris|Paris|75001|4.3|Better
